G,B,R,HEX
138,168,93,#5d8aa8
48,143,0,#00308f
160,193,114,#72a0c1
38,56,163,#a32638
248,255,240,#f0f8ff
38,54,227,#e32636
98,16,196,#c46210
222,205,239,#efdecd
43,80,229,#e52b50
191,0,255,#ffbf00
126,0,255,#ff7e00
3,62,255,#ff033e
102,204,153,#96c
198,57,164,#a4c639
243,244,242,#f2f3f4
149,117,205,#cd9575
92,131,145,#915c83
27,45,132,#841b2d
235,215,250,#faebd7
128,0,0,#008000
182,0,141,#8db600
206,177,251,#fbceb1
255,255,0,#0ff
255,212,127,#7fffd4
83,32,75,#4b5320
68,75,59,#3b444b
214,107,233,#e9d66b
190,181,178,#b2beb5
169,107,135,#87a96b
153,102,255,#f96
42,42,165,#a52a2a
238,0,253,#fdee00
127,128,110,#6e7f80
130,3,86,#568203
127,255,0,#007fff
255,255,240,#f0ffff
207,240,137,#89cff0
202,241,161,#a1caf1
194,194,244,#f4c2c2
171,205,33,#21abcd
231,181,250,#fae7b5
225,53,255,#ffe135
10,2,124,#7c0a02
132,130,132,#848482
119,123,152,#98777b
212,230,188,#bcd4e6
129,112,159,#9f8170
245,220,245,#f5f5dc
37,66,156,#9c2542
228,196,255,#ffe4c4
43,31,61,#3d2b1f
111,94,254,#fe6f5e
79,81,191,#bf4f51
0,0,0,#000
12,2,61,#3d0c02
53,41,37,#253529
60,54,59,#3b3c36
235,205,255,#ffebcd
113,100,165,#a57164
140,231,49,#318ce7
229,238,172,#ace5ee
240,190,250,#faf0be
0,255,0,#00f
162,208,162,#a2a2d0
117,254,31,#1f75fe
153,204,102,#69c
152,186,13,#0d98ba
147,175,0,#0093af
135,189,0,#0087bd
51,153,51,#339
71,254,2,#0247fe
97,128,18,#126180
43,226,138,#8a2be2
93,131,222,#de5d83
68,59,121,#79443b
149,182,0,#0095b6
218,201,227,#e3dac9
0,0,204,#c00
106,78,0,#006a4e
50,96,135,#873260
112,255,0,#0070ff
166,66,181,#b5a642
65,84,203,#cb4154
172,214,29,#1dacd6
255,0,102,#6f0
148,228,191,#bf94e4
33,72,195,#c32148
0,127,255,#ff007f
232,222,8,#08e8de
159,232,209,#d19fe8
187,255,244,#f4bbff
85,163,255,#ff55a3
96,127,251,#fb607f
66,37,0,#004225
127,50,205,#cd7f32
75,0,150,#964b00
42,42,165,#a52a2a
193,204,255,#ffc1cc
254,255,231,#e7feff
220,130,240,#f0dc82
6,7,72,#480607
0,32,128,#800020
184,135,222,#deb887
85,0,204,#c50
116,81,233,#e97451
51,36,138,#8a3324
51,164,189,#bd33a4
41,99,112,#702963
104,114,83,#536872
158,160,95,#5f9ea0
163,176,145,#91a3b0
107,60,0,#006b3c
135,45,237,#ed872d
0,34,227,#e30022
246,0,255,#fff600
123,91,166,#a67b5b
54,33,75,#4b3621
77,43,30,#1e4d2b
193,173,163,#a3c1ad
154,107,193,#c19a6b
187,204,239,#efbbcc
134,107,120,#78866b
239,0,255,#ffef00
8,0,255,#ff0800
113,122,228,#e4717a
191,255,0,#00bfff
39,32,89,#592720
30,58,196,#c41e3a
204,153,0,#0c9
0,24,150,#960018
0,64,215,#d70040
76,66,235,#eb4c42
0,56,255,#ff0038
166,201,255,#ffa6c9
27,27,179,#b31b1b
186,221,153,#99badd
145,33,237,#ed9121
42,120,6,#062a78
161,207,146,#92a1cf
225,175,172,#ace1af
123,167,0,#007ba7
132,124,47,#2f847c
255,255,178,#b2ffff
151,208,73,#4997d0
49,99,222,#de3163
59,131,236,#ec3b83
123,167,0,#007ba7
82,190,42,#2a52be
155,195,109,#6d9bc3
122,165,0,#007aa5
60,49,224,#e03c31
120,90,160,#a0785a
214,165,250,#fad6a5
69,79,54,#36454f
143,172,230,#e68fac
255,0,223,#dfff00
255,0,127,#7fff00
49,99,222,#de3163
183,197,255,#ffb7c5
92,92,205,#cd5c5c
111,161,222,#de6fa1
81,110,168,#a8516e
56,30,170,#aa381e
63,0,123,#7b3f00
105,30,210,#d2691e
167,0,255,#ffa700
129,123,152,#98817b
66,52,227,#e34234
105,30,210,#d2691e
208,10,228,#e4d00a
204,231,251,#fbcce7
71,171,0,#0047ab
105,30,210,#d2691e
78,55,111,#6f4e37
221,255,155,#9bddff
131,121,248,#f88379
46,99,0,#002e63
146,172,140,#8c92ac
115,51,184,#b87333
138,103,218,#da8a67
111,105,173,#ad6f69
109,81,203,#cb6d51
102,102,153,#966
56,0,255,#ff3800
127,80,255,#ff7f50
131,121,248,#f88379
64,64,255,#ff4040
63,69,137,#893f45
236,93,251,#fbec5d
27,27,179,#b31b1b
149,237,100,#6495ed
248,220,255,#fff8dc
248,231,255,#fff8e7
188,217,255,#ffbcd9
253,208,255,#fffdd0
20,60,220,#dc143c
0,50,190,#be0032
255,255,0,#0ff
183,235,0,#00b7eb
255,49,255,#ffff31
225,48,240,#f0e130
0,139,0,#00008b
67,33,101,#654321
57,84,93,#5d3954
0,0,164,#a40000
69,126,8,#08457e
105,96,152,#986960
91,69,205,#cd5b45
139,139,0,#008b8b
104,120,83,#536878
134,11,184,#b8860b
169,169,169,#a9a9a9
50,32,1,#013220
65,106,0,#00416a
36,33,26,#1a2421
183,107,189,#bdb76b
60,50,72,#483c32
79,150,115,#734f96
0,139,139,#8b008b
51,102,0,#036
107,47,85,#556b2f
140,0,255,#ff8c00
50,204,153,#9932cc
158,203,119,#779ecb
192,60,3,#03c03c
111,214,150,#966fd6
59,34,194,#c23b22
84,128,231,#e75480
51,153,0,#039
38,87,135,#872657
0,0,139,#8b0000
150,122,233,#e9967a
3,25,86,#560319
188,143,143,#8fbc8f
20,20,60,#3c1414
61,139,72,#483d8b
79,79,47,#2f4f4f
114,69,23,#177245
129,81,145,#918151
168,18,255,#ffa812
60,50,72,#483c32
78,92,204,#cc4e5c
206,209,0,#00ced1
0,211,148,#9400d3
135,12,155,#9b870c
112,60,0,#00703c
85,85,85,#555
10,83,215,#d70a53
32,62,169,#a9203e
48,56,239,#ef3038
105,44,233,#e9692c
50,135,218,#da3287
214,165,250,#fad6a5
78,72,185,#b94e48
66,65,112,#704241
84,193,193,#c154c1
75,73,0,#004b49
85,187,153,#95b
0,204,204,#c0c
203,164,255,#ffcba4
20,147,255,#ff1493
63,91,132,#843f5b
153,51,255,#f93
191,255,0,#00bfff
66,77,102,#66424d
96,189,21,#1560bd
154,107,193,#c19a6b
201,175,237,#edc9af
105,105,105,#696969
144,255,30,#1e90ff
24,104,215,#d71868
187,101,133,#85bb65
113,23,150,#967117
0,156,0,#00009c
169,95,225,#e1a95f
93,80,85,#555d50
178,128,194,#c2b280
64,81,97,#614051
234,214,240,#f0ead6
52,166,16,#1034a6
249,255,125,#7df9ff
0,63,255,#ff003f
255,255,0,#0ff
255,0,0,#0f0
0,255,111,#6f00ff
187,255,244,#f4bbff
255,0,204,#cf0
0,255,191,#bf00ff
0,255,63,#3f00ff
0,255,143,#8f00ff
255,0,255,#ff0
200,120,80,#50c878
131,149,180,#b48395
