R,G,B,parsed_col_sec,R,G,B,C=G+B,M=R+B,Y=R+G,K=R+G+B
93,138,168,B,0,0,1,0,0,0,0
0,48,143,B,0,0,1,0,0,0,0
114,160,193,B,0,0,1,0,0,0,0
163,38,56,R,1,0,0,0,0,0,0
240,248,255,B,0,0,1,0,0,0,0
227,38,54,R,1,0,0,0,0,0,0
196,98,16,R,1,0,0,0,0,0,0
239,222,205,R,1,0,0,0,0,0,0
229,43,80,R,1,0,0,0,0,0,0
255,191,0,R,1,0,0,0,0,0,0
255,126,0,R,1,0,0,0,0,0,0
255,3,62,R,1,0,0,0,0,0,0
153,102,204,B,0,0,1,0,0,0,0
164,198,57,G,0,1,0,0,0,0,0
242,243,244,B,0,0,1,0,0,0,0
205,149,117,R,1,0,0,0,0,0,0
145,92,131,R,1,0,0,0,0,0,0
132,27,45,R,1,0,0,0,0,0,0
250,235,215,R,1,0,0,0,0,0,0
0,128,0,G,0,1,0,0,0,0,0
141,182,0,G,0,1,0,0,0,0,0
251,206,177,R,1,0,0,0,0,0,0
0,255,255,C,0,0,0,1,0,0,0
127,255,212,G,0,1,0,0,0,0,0
75,83,32,G,0,1,0,0,0,0,0
59,68,75,B,0,0,1,0,0,0,0
233,214,107,R,1,0,0,0,0,0,0
178,190,181,G,0,1,0,0,0,0,0
135,169,107,G,0,1,0,0,0,0,0
255,153,102,R,1,0,0,0,0,0,0
165,42,42,R,1,0,0,0,0,0,0
253,238,0,R,1,0,0,0,0,0,0
110,127,128,B,0,0,1,0,0,0,0
86,130,3,G,0,1,0,0,0,0,0
0,127,255,B,0,0,1,0,0,0,0
240,255,255,C,0,0,0,1,0,0,0
137,207,240,B,0,0,1,0,0,0,0
161,202,241,B,0,0,1,0,0,0,0
244,194,194,R,1,0,0,0,0,0,0
33,171,205,B,0,0,1,0,0,0,0
250,231,181,R,1,0,0,0,0,0,0
255,225,53,R,1,0,0,0,0,0,0
124,10,2,R,1,0,0,0,0,0,0
132,132,130,Y,0,0,0,0,0,1,0
152,119,123,R,1,0,0,0,0,0,0
188,212,230,B,0,0,1,0,0,0,0
159,129,112,R,1,0,0,0,0,0,0
245,245,220,Y,0,0,0,0,0,1,0
156,37,66,R,1,0,0,0,0,0,0
255,228,196,R,1,0,0,0,0,0,0
61,43,31,R,1,0,0,0,0,0,0
254,111,94,R,1,0,0,0,0,0,0
191,79,81,R,1,0,0,0,0,0,0
0,0,0,K,0,0,0,0,0,0,1
61,12,2,R,1,0,0,0,0,0,0
37,53,41,G,0,1,0,0,0,0,0
59,60,54,G,0,1,0,0,0,0,0
255,235,205,R,1,0,0,0,0,0,0
165,113,100,R,1,0,0,0,0,0,0
49,140,231,B,0,0,1,0,0,0,0
172,229,238,B,0,0,1,0,0,0,0
250,240,190,R,1,0,0,0,0,0,0
0,0,255,B,0,0,1,0,0,0,0
162,162,208,B,0,0,1,0,0,0,0
31,117,254,B,0,0,1,0,0,0,0
102,153,204,B,0,0,1,0,0,0,0
13,152,186,B,0,0,1,0,0,0,0
0,147,175,B,0,0,1,0,0,0,0
0,135,189,B,0,0,1,0,0,0,0
51,51,153,B,0,0,1,0,0,0,0
2,71,254,B,0,0,1,0,0,0,0
18,97,128,B,0,0,1,0,0,0,0
138,43,226,B,0,0,1,0,0,0,0
222,93,131,R,1,0,0,0,0,0,0
121,68,59,R,1,0,0,0,0,0,0
0,149,182,B,0,0,1,0,0,0,0
