RAL, RGB, HEX, German, English, French, Spanish, Italian, Nederlands,,R,G,B,parsed_col
RAL 1000,190-189-127,#BEBD7F,Grünbeige,Green beige,Beige vert,Beige verdoso,Beige verdastro,Groenbeige,,190,189,127,red
RAL 1001,194-176-120,#C2B078,Beige,Beige,Beige,Beige,Beige,Beige,,194,176,120,red
RAL 1002,198-166-100,#C6A664,Sandgelb,Sand yellow,Jaune sable,Amarillo arena,Giallo sabbia,Zandgeel,,198,166,100,red
RAL 1003,229-190-001,#E5BE01,Signalgelb,Signal yellow,Jaune de sécurité,Amarillo señales,Giallo segnale,Signaalgeel,,229,190,1,red
RAL 1004,205-164-052,#CDA434,Goldgelb,Golden yellow,Jaune or,Amarillo oro,Giallo oro,Goudgeel,,205,164,52,red
RAL 1005,169-131-007,#A98307,Honiggelb,Honey yellow,Jaune miel,Amarillo miel,Giallo miele,Honinggeel,,169,131,7,red
RAL 1006,228-160-016,#E4A010,Maisgelb,Maize yellow,Jaune maïs,Amarillo maiz,Giallo polenta,Maisgeel,,228,160,16,red
RAL 1007,220-156-000,#DC9D00,Narzissengelb,Daffodil yellow,Jaune narcisse,Amarillo narciso,Giallo narciso,Narcissengeel,,220,156,0,red
RAL 1011,138-102-066,#8A6642,Braunbeige,Brown beige,Beige brun,Beige pardo,Beige marrone,Bruinbeige,,138,102,66,red
RAL 1012,199-180-070,#C7B446,Zitronengelb,Lemon yellow,Jaune citron,Amarillo limón,Giallo limone,Citroengeel,,199,180,70,red
RAL 1013,234-230-202,#EAE6CA,Perlweiß,Oyster white,Blanc perlé,Blanco perla,Bianco perla,Parelwit,,234,230,202,red
RAL 1014,225-204-079,#E1CC4F,Elfenbein,Ivory,Ivoire,Marfil,Avorio,Ivoorkleurig,,225,204,79,red
RAL 1015,230-214-144,#E6D690,Hellelfenbein,Light ivory,Ivoire clair,Marfil claro,Avorio chiaro,Licht ivoorkleurig,,230,214,144,red
RAL 1016,237-255-033,#EDFF21,Schwefelgelb,Sulfur yellow,Jaune soufre,Amarillo azufre,Giallo zolfo,Zwavelgeel,,237,255,33,green
RAL 1017,245-208-051,#F5D033,Safrangelb,Saffron yellow,Jaune safran,Amarillo azafrán,Giallo zafferano,Saffraangeel,,245,208,51,red
RAL 1018,248-243-053,#F8F32B,Zinkgelb,Zinc yellow,Jaune zinc,Amarillo de zinc,Giallo zinco,Zinkgeel,,248,243,53,red
RAL 1019,158-151-100,#9E9764,Graubeige,Grey beige,Beige gris,Beige agrisado,Beige grigiastro,Grijsbeige,,158,151,100,red
RAL 1020,153-153-080,#999950,Olivgelb,Olive yellow,Jaune olive,Amarillo oliva,Giallo olivastro,Olijfgeel,,153,153,80,equal
RAL 1021,243-218-011,#F3DA0B,Rapsgelb,Rape yellow,Jaune colza,Amarillo colza,Giallo navone,Koolzaadgeel,,243,218,11,red
RAL 1023,250-210-001,#FAD201,Verkehrsgelb,Traffic yellow,Jaune signalisation,Amarillo tráfico,Giallo traffico,Verkeersgeel,,250,210,1,red
RAL 1024,174-160-075,#AEA04B,Ockergelb,Ochre yellow,Jaune ocre,Amarillo ocre,Giallo ocra,Okergeel,,174,160,75,red
RAL 1026,255-255-000,#FFFF00,Leuchtgelb,Luminous yellow,Jaune brillant,Amarillo brillante,Giallo brillante,Briljantgeel,,255,255,0,equal
RAL 1027,157-145-001,#9D9101,Currygelb,Curry,Jaune curry,Amarillo curry,Giallo curry,Kerriegeel,,157,145,1,red
RAL 1028,244-169-000,#F4A900,Melonengelb,Melon yellow,Jaune melon,Amarillo melón,Giallo melone,Meloengeel,,244,169,0,red
RAL 1032,214-174-001,#D6AE01,Ginstergelb,Broom yellow,Jaune genêt,Amarillo retama,Giallo scopa,Bremgeel,,214,174,1,red
RAL 1033,243-165-005,#F3A505,Dahliengelb,Dahlia yellow,Jaune dahlia,Amarillo dalia,Giallo dahlien,Dahliageel,,243,165,5,red
RAL 1034,239-169-074,#EFA94A,Pastellgelb,Pastel yellow,Jaune pastel,Amarillo pastel,Giallo pastello,Pastelgeel,,239,169,74,red
RAL 1035,106-093-077,#6A5D4D,Perlbeige,Pearl beige,Beige nacré,Beige perlado,Beige perlato,Parelmoergrijs,,106,93,77,red
RAL 1036,112-083-053,#705335,Perlgold,Pearl gold,Or nacré,Oro perlado,Oro perlato,Parelmoergoud,,112,83,53,red
RAL 1037,243-159-024,#F39F18,Sonnengelb,Sun yellow,Jaune soleil,Amarillo sol,Giallo sole,Zonnegeel,,243,159,24,red
RAL 2000,237-118-014,#ED760E,Gelborange,Yellow orange,Orangé jaune,Amarillo naranja,Arancio giallastro,Geeloranje,,237,118,14,red
RAL 2001,201-060-032,#C93C20,Rotorange,Red orange,Orangé rouge,Rojo anaranjado,Arancio rossastro,Roodoranje,,201,60,32,red
RAL 2002,203-040-033,#CB2821,Blutorange,Vermilion,Orangé sang,Naranja sanguineo,Arancio sanguigno,Vermiljoen,,203,40,33,red
RAL 2003,255-117-020,#FF7514,Pastellorange,Pastel orange,Orangé pastel,Naranja pálido,Arancio pastello,Pasteloranje,,255,117,20,red
RAL 2004,244-070-017,#F44611,Reinorange,Pure orange,Orangé pur,Naranja puro,Arancio puro,Zuiver oranje,,244,70,17,red
