R,G,B,parsed_col_prim,R,G,B
190,189,127,R,1,0,0
194,176,120,R,1,0,0
198,166,100,R,1,0,0
229,190,1,R,1,0,0
205,164,52,R,1,0,0
169,131,7,R,1,0,0
228,160,16,R,1,0,0
220,156,0,R,1,0,0
138,102,66,R,1,0,0
199,180,70,R,1,0,0
234,230,202,R,1,0,0
225,204,79,R,1,0,0
230,214,144,R,1,0,0
237,255,33,G,0,1,0
245,208,51,R,1,0,0
248,243,53,R,1,0,0
158,151,100,R,1,0,0
153,153,80,K,0,0,0
243,218,11,R,1,0,0
250,210,1,R,1,0,0
174,160,75,R,1,0,0
255,255,0,K,0,0,0
157,145,1,R,1,0,0
244,169,0,R,1,0,0
214,174,1,R,1,0,0
243,165,5,R,1,0,0
239,169,74,R,1,0,0
106,93,77,R,1,0,0
112,83,53,R,1,0,0
243,159,24,R,1,0,0
237,118,14,R,1,0,0
201,60,32,R,1,0,0
203,40,33,R,1,0,0
255,117,20,R,1,0,0
244,70,17,R,1,0,0
255,35,1,R,1,0,0
255,164,32,R,1,0,0
247,94,37,R,1,0,0
245,64,33,R,1,0,0
216,75,32,R,1,0,0
236,124,38,R,1,0,0
235,106,14,R,1,0,0
195,88,49,R,1,0,0
175,43,30,R,1,0,0
165,32,25,R,1,0,0
162,35,29,R,1,0,0
155,17,30,R,1,0,0
117,21,30,R,1,0,0
94,33,41,R,1,0,0
65,34,39,R,1,0,0
100,36,36,R,1,0,0
120,31,25,R,1,0,0
193,135,107,R,1,0,0
161,35,18,R,1,0,0
211,110,112,R,1,0,0
234,137,154,R,1,0,0
179,40,33,R,1,0,0
230,50,68,R,1,0,0
213,48,50,R,1,0,0
204,6,5,R,1,0,0
217,80,48,R,1,0,0
248,0,0,R,1,0,0
254,0,0,R,1,0,0
197,29,52,R,1,0,0
203,50,52,R,1,0,0
179,36,40,R,1,0,0
114,20,34,R,1,0,0
180,76,67,R,1,0,0
222,76,138,R,1,0,0
146,43,62,R,1,0,0
222,76,138,R,1,0,0
110,28,52,R,1,0,0
108,70,117,B,0,0,1
160,52,114,R,1,0,0
74,25,44,R,1,0,0
144,70,132,R,1,0,0
164,125,144,R,1,0,0
215,45,109,R,1,0,0
134,115,161,B,0,0,1
108,104,129,B,0,0,1
42,46,75,B,0,0,1
31,52,56,B,0,0,1
32,33,79,B,0,0,1
29,30,51,B,0,0,1
32,33,79,B,0,0,1
30,45,110,B,0,0,1
62,95,138,B,0,0,1
38,37,45,B,0,0,1
2,86,105,B,0,0,1
14,41,75,B,0,0,1
35,26,36,B,0,0,1
59,131,189,B,0,0,1
37,41,74,B,0,0,1
96,111,140,B,0,0,1
34,113,179,B,0,0,1
6,57,113,B,0,0,1
63,136,143,B,0,0,1
27,85,131,B,0,0,1
29,51,74,B,0,0,1
37,109,123,B,0,0,1
37,40,80,B,0,0,1
73,103,141,B,0,0,1
93,155,155,K,0,0,0
42,100,120,B,0,0,1
16,44,84,B,0,0,1
49,102,80,G,0,1,0
40,114,51,G,0,1,0
45,87,44,G,0,1,0
66,70,50,G,0,1,0
31,58,61,B,0,0,1
47,69,56,G,0,1,0
62,59,50,R,1,0,0
52,59,41,G,0,1,0
57,53,42,R,1,0,0
49,55,43,G,0,1,0
53,104,45,G,0,1,0
88,114,70,G,0,1,0
52,62,64,B,0,0,1
108,113,86,G,0,1,0
71,64,46,R,1,0,0
59,60,54,G,0,1,0
30,89,69,G,0,1,0
76,145,65,G,0,1,0
87,166,57,G,0,1,0
189,236,182,G,0,1,0
46,58,35,G,0,1,0
137,172,118,G,0,1,0
37,34,27,R,1,0,0
48,132,70,G,0,1,0
61,100,45,G,0,1,0
1,93,82,G,0,1,0
132,195,190,G,0,1,0
44,85,69,G,0,1,0
32,96,61,G,0,1,0
49,127,67,G,0,1,0
73,126,118,G,0,1,0
127,181,181,K,0,0,0
28,84,45,G,0,1,0
22,53,55,B,0,0,1
0,143,57,G,0,1,0
0,187,45,G,0,1,0
120,133,139,B,0,0,1
138,149,151,B,0,0,1
126,123,82,R,1,0,0
108,112,89,G,0,1,0
150,153,146,G,0,1,0
100,107,99,G,0,1,0
